hotel_id,chain_id,hotel_name,category_star,address,city,state_province,area,contact_email,phone_number,total_rooms
25,3,BlueHarbor Executive,3,"1205 Wacker Ave, Chicago, IL",Chicago,IL,The Loop,blueharborexecutive@blueharborcollection.com,+1-848-555-9763,12
26,3,BlueHarbor Market District,5,"394 Saint-Paul Ave, Montréal, QC",Montréal,QC,Old Montréal,blueharbormarketdistrict@blueharborcollection.com,+1-636-555-7781,12
27,3,BlueHarbor Residences,4,"837 Seaport Blvd St, Boston, MA",Boston,MA,Seaport,blueharborresidences@blueharborcollection.com,+1-296-555-8781,12
28,3,BlueHarbor Grand Plaza,3,"152 Elgin Ave, Ottawa, ON",Ottawa,ON,Downtown,blueharborgrandplaza@blueharborcollection.com,+1-318-555-7174,12
29,3,BlueHarbor Urban Select,4,"552 Saint-Laurent Ave, Montréal, QC",Montréal,QC,Plateau,blueharborurbanselect@blueharborcollection.com,+1-352-555-3877,12
30,3,BlueHarbor Waterfront,5,"1484 10 Ave SW St, Calgary, AB",Calgary,AB,Beltline,blueharborwaterfront@blueharborcollection.com,+1-639-555-7793,12
31,4,Summit Central,3,"684 Pike St, Seattle, WA",Seattle,WA,Downtown,summitcentral@summitcrown.com,+1-299-555-3164,12
32,4,Summit Skyline,4,"368 Seaport Blvd Ave, Boston, MA",Boston,MA,Seaport,summitskyline@summitcrown.com,+1-218-555-7402,12
33,4,Summit Harbour View,5,"1020 Elgin St, Ottawa, ON",Ottawa,ON,Downtown,summitharbourview@summitcrown.com,+1-945-555-2812,12
34,4,Summit Convention Centre,4,"1452 March Ave, Ottawa, ON",Ottawa,ON,Kanata,summitconventioncentre@summitcrown.com,+1-501-555-6971,12
35,4,Summit Executive,3,"132 Peel St, Montréal, QC",Montréal,QC,Downtown,summitexecutive@summitcrown.com,+1-393-555-6104,12
36,4,Summit Market District,5,"431 The East Mall St, Toronto, ON",Toronto,ON,Etobicoke,summitmarketdistrict@summitcrown.com,+1-835-555-3764,12
37,4,Summit Residences,4,"147 King Ave, Toronto, ON",Toronto,ON,Downtown,summitresidences@summitcrown.com,+1-930-555-6499,12
38,4,Summit Grand Plaza,3,"706 Wacker Ave, Chicago, IL",Chicago,IL,The Loop,summitgrandplaza@summitcrown.com,+1-695-555-6921,12
39,4,Summit Urban Select,4,"450 State Ave, Chicago, IL",Chicago,IL,River North,summiturbanselect@summitcrown.com,+1-326-555-7010,12
40,4,Summit Waterfront,5,"1704 10 Ave SW Ave, Calgary, AB",Calgary,AB,Beltline,summitwaterfront@summitcrown.com,+1-480-555-3793,12
41,5,Maple Central,3,"529 State Ave, Chicago, IL",Chicago,IL,River North,maplecentral@mapleorbit.com,+1-909-555-3090,12
42,5,Maple Skyline,4,"966 King Ave, Toronto, ON",Toronto,ON,Downtown,mapleskyline@mapleorbit.com,+1-578-555-6276,12
43,5,Maple Harbour View,5,"478 Boylston St, Boston, MA",Boston,MA,Back Bay,mapleharbourview@mapleorbit.com,+1-777-555-9878,12
44,5,Maple Convention Centre,4,"1932 Airport Trail Ave, Calgary, AB",Calgary,AB,Airport District,mapleconventioncentre@mapleorbit.com,+1-327-555-9655,12
45,5,Maple Executive,3,"1897 March Ave, Ottawa, ON",Ottawa,ON,Kanata,mapleexecutive@mapleorbit.com,+1-876-555-2834,12
46,5,Maple Market District,5,"113 10 Ave SW St, Calgary, AB",Calgary,AB,Beltline,maplemarketdistrict@mapleorbit.com,+1-949-555-6976,12
47,5,Maple Residences,4,"954 Pike St, Seattle, WA",Seattle,WA,Downtown,mapleresidences@mapleorbit.com,+1-447-555-1868,12
48,5,Maple Grand Plaza,3,"198 Elgin Ave, Ottawa, ON",Ottawa,ON,Downtown,maplegrandplaza@mapleorbit.com,+1-465-555-3474,12
49,5,Maple Urban Select,4,"1312 Saint-Paul St, Montréal, QC",Montréal,QC,Old Montréal,mapleurbanselect@mapleorbit.com,+1-338-555-4552,12
50,5,Maple Waterfront,5,"1108 Westlake Ave, Seattle, WA",Seattle,WA,South Lake Union,maplewaterfront@mapleorbit.com,+1-903-555-8137,12
