room_id,hotel_id,room_number,floor_number,room_type,capacity,price_per_night,sea_view,mountain_view,extendable,damages_or_issues,last_renovated_date,smoking_allowed,ada_accessible
45,4,309,3,Accessible Queen,2,305,False,False,False,,2024-04-11,False,True
46,4,310,3,Business King,2,355,False,False,True,,2022-05-18,False,False
47,4,311,3,Junior Suite,3,400,True,False,True,,2021-01-24,False,False
48,4,312,3,Presidential Suite,4,675,True,False,False,Paint touch-up scheduled,2024-10-27,False,False
49,5,101,1,Single Comfort,1,209,False,False,False,,2024-05-14,False,False
50,5,102,1,Double Classic,2,239,False,False,True,,2022-03-07,False,False
51,5,103,1,Queen Urban,2,269,False,False,True,,2023-01-10,False,False
52,5,104,1,King Executive,2,309,False,False,True,,2023-07-06,False,False
53,5,205,2,Studio Extended Stay,3,344,False,False,True,,2023-08-16,False,False
54,5,206,2,Family Suite,4,384,False,False,False,,2023-01-24,False,False
55,5,207,2,Panorama Suite,2,454,True,False,True,,2022-01-02,False,False
56,5,208,2,Alpine Premium,2,414,False,False,True,,2023-05-22,False,False
57,5,309,3,Accessible Queen,2,279,False,False,False,,2025-04-04,False,True
58,5,310,3,Business King,2,324,False,False,True,,2024-07-30,False,False
59,5,311,3,Junior Suite,3,359,True,False,True,Bathroom caulking maintenance due,2022-12-16,False,False
60,5,312,3,Presidential Suite,4,659,True,False,False,Bathroom caulking maintenance due,2023-01-21,False,False
61,6,101,1,Single Comfort,1,281,False,False,False,,2022-06-25,False,False
62,6,102,1,Double Classic,2,331,False,False,True,,2024-05-09,False,False
63,6,103,1,Queen Urban,2,351,False,False,True,Lamp replacement pending,2025-04-21,False,False
64,6,104,1,King Executive,2,376,False,False,True,Paint touch-up scheduled,2022-09-29,False,False
65,6,205,2,Studio Extended Stay,3,421,False,False,True,Paint touch-up scheduled,2025-03-03,False,False
66,6,206,2,Family Suite,4,466,False,False,False,Bathroom caulking maintenance due,2024-10-13,False,False
67,6,207,2,Panorama Suite,2,536,True,True,True,,2022-02-11,False,False
68,6,208,2,Alpine Premium,2,506,False,True,True,,2023-05-12,False,False
69,6,309,3,Accessible Queen,2,351,False,False,False,Lamp replacement pending,2022-12-14,False,True
70,6,310,3,Business King,2,396,False,False,True,,2025-04-26,False,False
71,6,311,3,Junior Suite,3,456,True,False,True,Lamp replacement pending,2023-03-09,False,False
72,6,312,3,Presidential Suite,4,736,True,False,False,,2021-02-16,False,False
73,7,101,1,Single Comfort,1,218,False,False,False,Bathroom caulking maintenance due,2023-08-14,False,False
74,7,102,1,Double Classic,2,263,False,False,True,,2024-10-21,False,False
75,7,103,1,Queen Urban,2,283,False,False,True,,2021-03-11,False,False
76,7,104,1,King Executive,2,323,False,False,True,,2021-02-10,False,False
77,7,205,2,Studio Extended Stay,3,353,False,False,True,Paint touch-up scheduled,2023-05-28,False,False
78,7,206,2,Family Suite,4,388,False,False,False,,2021-06-03,False,False
79,7,207,2,Panorama Suite,2,443,False,False,True,,2022-03-25,False,False
80,7,208,2,Alpine Premium,2,428,False,False,True,,2022-01-15,False,False
81,7,309,3,Accessible Queen,2,288,False,False,False,Bathroom caulking maintenance due,2022-01-16,False,True
82,7,310,3,Business King,2,323,False,False,True,,2022-07-29,False,False
83,7,311,3,Junior Suite,3,363,False,False,True,Paint touch-up scheduled,2021-11-13,False,False
84,7,312,3,Presidential Suite,4,668,False,False,False,Paint touch-up scheduled,2023-02-27,False,False
85,8,101,1,Single Comfort,1,177,False,False,False,,2024-07-13,False,False
86,8,102,1,Double Classic,2,207,False,False,True,,2024-11-28,False,False
87,8,103,1,Queen Urban,2,227,False,False,True,,2022-11-03,False,False
88,8,104,1,King Executive,2,282,False,False,True,,2024-06-18,False,False
89,8,205,2,Studio Extended Stay,3,302,False,False,True,Bathroom caulking maintenance due,2024-07-20,False,False
90,8,206,2,Family Suite,4,367,False,False,False,,2022-07-14,False,False
91,8,207,2,Panorama Suite,2,412,False,False,True,,2023-01-09,False,False
92,8,208,2,Alpine Premium,2,377,False,False,True,Paint touch-up scheduled,2022-06-23,False,False
93,8,309,3,Accessible Queen,2,242,False,False,False,,2023-12-03,False,True
94,8,310,3,Business King,2,307,False,False,True,Paint touch-up scheduled,2021-05-21,False,False
95,8,311,3,Junior Suite,3,337,False,False,True,Lamp replacement pending,2024-02-26,False,False
96,8,312,3,Presidential Suite,4,632,False,False,False,,2021-02-04,False,False
97,9,101,1,Single Comfort,1,218,False,False,False,,2024-01-16,False,False
98,9,102,1,Double Classic,2,258,False,False,True,,2024-11-11,False,False
99,9,103,1,Queen Urban,2,283,False,False,True,Lamp replacement pending,2022-01-26,False,False
100,9,104,1,King Executive,2,313,False,False,True,,2023-11-12,False,False
101,9,205,2,Studio Extended Stay,3,348,False,False,True,,2021-09-29,False,False
102,9,206,2,Family Suite,4,388,False,False,False,,2021-04-29,False,False
103,9,207,2,Panorama Suite,2,443,False,False,True,,2022-12-06,False,False
104,9,208,2,Alpine Premium,2,423,False,False,True,Bathroom caulking maintenance due,2022-07-25,False,False
105,9,309,3,Accessible Queen,2,283,False,False,False,,2022-06-24,False,True
106,9,310,3,Business King,2,343,False,False,True,,2021-03-29,False,False
107,9,311,3,Junior Suite,3,363,False,False,True,Paint touch-up scheduled,2024-07-31,False,False
108,9,312,3,Presidential Suite,4,658,False,False,False,,2023-07-02,False,False
109,10,101,1,Single Comfort,1,276,False,False,False,,2023-07-10,False,False
110,10,102,1,Double Classic,2,326,False,False,True,,2022-10-19,False,False
111,10,103,1,Queen Urban,2,331,False,False,True,Paint touch-up scheduled,2024-06-22,False,False
112,10,104,1,King Executive,2,366,False,False,True,,2021-08-10,False,False
113,10,205,2,Studio Extended Stay,3,396,False,False,True,,2021-08-24,False,False
114,10,206,2,Family Suite,4,451,False,False,False,,2021-12-10,False,False
115,10,207,2,Panorama Suite,2,521,False,False,True,Lamp replacement pending,2022-04-26,False,False
116,10,208,2,Alpine Premium,2,476,False,False,True,,2024-07-23,False,False
117,10,309,3,Accessible Queen,2,356,False,False,False,,2023-06-13,False,True
118,10,310,3,Business King,2,401,False,False,True,,2022-07-26,False,False
119,10,311,3,Junior Suite,3,426,False,False,True,Paint touch-up scheduled,2023-01-26,False,False
120,10,312,3,Presidential Suite,4,726,False,False,False,Lamp replacement pending,2024-05-01,False,False
121,11,101,1,Single Comfort,1,209,False,False,False,,2021-05-27,False,False
122,11,102,1,Double Classic,2,229,False,False,True,,2023-08-07,False,False
123,11,103,1,Queen Urban,2,264,False,False,True,Lamp replacement pending,2021-10-30,False,False
124,11,104,1,King Executive,2,289,False,False,True,,2022-10-10,False,False
125,11,205,2,Studio Extended Stay,3,319,False,False,True,,2022-11-17,False,False
126,11,206,2,Family Suite,4,374,False,False,False,Paint touch-up scheduled,2022-10-22,False,False
127,11,207,2,Panorama Suite,2,439,True,False,True,,2021-02-20,False,False
128,11,208,2,Alpine Premium,2,409,False,False,True,,2024-03-31,False,False
129,11,309,3,Accessible Queen,2,259,False,False,False,,2022-04-14,False,True
130,11,310,3,Business King,2,324,False,False,True,,2023-12-14,False,False
131,11,311,3,Junior Suite,3,364,True,False,True,Bathroom caulking maintenance due,2023-10-22,False,False
132,11,312,3,Presidential Suite,4,639,True,False,False,,2023-07-12,False,False
133,12,101,1,Single Comfort,1,210,False,False,False,Bathroom caulking maintenance due,2021-10-22,False,False
134,12,102,1,Double Classic,2,260,False,False,True,Paint touch-up scheduled,2022-06-01,False,False
135,12,103,1,Queen Urban,2,275,False,False,True,Paint touch-up scheduled,2024-10-03,False,False
136,12,104,1,King Executive,2,310,False,False,True,Lamp replacement pending,2024-04-29,False,False
137,12,205,2,Studio Extended Stay,3,350,False,False,True,Paint touch-up scheduled,2023-10-11,False,False
138,12,206,2,Family Suite,4,400,False,False,False,Paint touch-up scheduled,2021-05-22,False,False
139,12,207,2,Panorama Suite,2,440,False,True,True,,2023-08-16,False,False
140,12,208,2,Alpine Premium,2,420,False,True,True,,2023-12-30,False,False
141,12,309,3,Accessible Queen,2,290,False,False,False,,2022-02-12,False,True
142,12,310,3,Business King,2,325,False,False,True,Paint touch-up scheduled,2024-03-21,False,False
143,12,311,3,Junior Suite,3,370,False,False,True,,2022-09-08,False,False
144,12,312,3,Presidential Suite,4,660,False,False,False,Lamp replacement pending,2024-04-10,False,False
145,13,101,1,Single Comfort,1,249,False,False,False,Bathroom caulking maintenance due,2022-02-09,False,False
146,13,102,1,Double Classic,2,289,False,False,True,,2021-06-08,False,False
147,13,103,1,Queen Urban,2,304,False,False,True,,2024-12-29,False,False
148,13,104,1,King Executive,2,344,False,False,True,Bathroom caulking maintenance due,2022-01-15,False,False
149,13,205,2,Studio Extended Stay,3,389,False,False,True,,2023-09-12,False,False
150,13,206,2,Family Suite,4,434,False,False,False,,2025-05-18,False,False
151,13,207,2,Panorama Suite,2,484,False,False,True,,2024-01-31,False,False
152,13,208,2,Alpine Premium,2,454,False,False,True,,2024-05-11,False,False
153,13,309,3,Accessible Queen,2,324,False,False,False,Lamp replacement pending,2024-07-30,False,True
154,13,310,3,Business King,2,379,False,False,True,Paint touch-up scheduled,2021-04-24,False,False
155,13,311,3,Junior Suite,3,404,False,False,True,Lamp replacement pending,2024-01-24,False,False
156,13,312,3,Presidential Suite,4,689,False,False,False,Paint touch-up scheduled,2024-02-27,False,False
157,14,101,1,Single Comfort,1,225,False,False,False,Paint touch-up scheduled,2022-03-23,False,False
158,14,102,1,Double Classic,2,250,False,False,True,Bathroom caulking maintenance due,2023-08-14,False,False
159,14,103,1,Queen Urban,2,270,False,False,True,,2025-01-17,False,False
160,14,104,1,King Executive,2,325,False,False,True,Lamp replacement pending,2023-06-06,False,False
161,14,205,2,Studio Extended Stay,3,340,False,False,True,Lamp replacement pending,2023-11-10,False,False
162,14,206,2,Family Suite,4,395,False,False,False,Paint touch-up scheduled,2021-01-26,False,False
163,14,207,2,Panorama Suite,2,460,False,False,True,Bathroom caulking maintenance due,2021-06-25,False,False
164,14,208,2,Alpine Premium,2,430,False,False,True,,2025-02-16,False,False
165,14,309,3,Accessible Queen,2,300,False,False,False,Lamp replacement pending,2025-01-07,False,True
166,14,310,3,Business King,2,330,False,False,True,,2023-01-16,False,False
167,14,311,3,Junior Suite,3,375,False,False,True,Lamp replacement pending,2024-02-13,False,False
168,14,312,3,Presidential Suite,4,680,False,False,False,,2023-04-24,False,False
169,15,101,1,Single Comfort,1,194,False,False,False,,2021-07-27,False,False
170,15,102,1,Double Classic,2,254,False,False,True,,2023-12-24,False,False
171,15,103,1,Queen Urban,2,259,False,False,True,,2024-12-09,False,False
172,15,104,1,King Executive,2,309,False,False,True,,2021-01-15,False,False
173,15,205,2,Studio Extended Stay,3,334,False,False,True,,2023-10-10,False,False
174,15,206,2,Family Suite,4,374,False,False,False,,2025-02-23,False,False
175,15,207,2,Panorama Suite,2,439,False,False,True,,2021-11-01,False,False
176,15,208,2,Alpine Premium,2,419,False,False,True,Lamp replacement pending,2022-03-31,False,False
177,15,309,3,Accessible Queen,2,264,False,False,False,,2021-05-06,False,True
178,15,310,3,Business King,2,324,False,False,True,,2023-10-16,False,False
179,15,311,3,Junior Suite,3,364,False,False,True,Paint touch-up scheduled,2022-09-09,False,False
180,15,312,3,Presidential Suite,4,644,False,False,False,,2021-07-02,False,False
181,16,101,1,Single Comfort,1,281,False,False,False,Paint touch-up scheduled,2022-08-13,False,False
182,16,102,1,Double Classic,2,316,False,False,True,Bathroom caulking maintenance due,2024-09-24,False,False
183,16,103,1,Queen Urban,2,336,False,False,True,,2022-12-05,False,False
184,16,104,1,King Executive,2,366,False,False,True,Paint touch-up scheduled,2024-08-10,False,False
185,16,205,2,Studio Extended Stay,3,406,False,False,True,,2024-10-28,False,False
186,16,206,2,Family Suite,4,451,False,False,False,Bathroom caulking maintenance due,2022-01-02,False,False
187,16,207,2,Panorama Suite,2,511,False,False,True,,2021-03-29,False,False
188,16,208,2,Alpine Premium,2,481,False,False,True,Paint touch-up scheduled,2022-08-30,False,False
189,16,309,3,Accessible Queen,2,351,False,False,False,,2024-05-30,False,True
190,16,310,3,Business King,2,401,False,False,True,,2023-08-13,False,False
191,16,311,3,Junior Suite,3,426,False,False,True,Paint touch-up scheduled,2025-02-06,False,False
192,16,312,3,Presidential Suite,4,721,False,False,False,Paint touch-up scheduled,2024-01-09,False,False
193,17,101,1,Single Comfort,1,203,False,False,False,Paint touch-up scheduled,2021-06-30,False,False
194,17,102,1,Double Classic,2,263,False,False,True,Paint touch-up scheduled,2024-01-09,False,False
195,17,103,1,Queen Urban,2,278,False,False,True,,2022-08-23,False,False
196,17,104,1,King Executive,2,318,False,False,True,,2024-04-12,False,False
197,17,205,2,Studio Extended Stay,3,353,False,False,True,,2023-12-31,False,False
198,17,206,2,Family Suite,4,398,False,False,False,,2025-03-16,False,False
199,17,207,2,Panorama Suite,2,443,False,False,True,,2022-11-22,False,False
200,17,208,2,Alpine Premium,2,418,False,False,True,,2022-07-08,False,False
201,17,309,3,Accessible Queen,2,288,False,False,False,,2024-10-24,False,True
202,17,310,3,Business King,2,343,False,False,True,Paint touch-up scheduled,2023-05-13,False,False
203,17,311,3,Junior Suite,3,368,False,False,True,,2025-02-23,False,False
204,17,312,3,Presidential Suite,4,663,False,False,False,,2021-03-06,False,False
205,18,101,1,Single Comfort,1,204,False,False,False,Bathroom caulking maintenance due,2022-02-23,False,False
206,18,102,1,Double Classic,2,244,False,False,True,Lamp replacement pending,2023-09-15,False,False
207,18,103,1,Queen Urban,2,269,False,False,True,,2024-01-03,False,False
208,18,104,1,King Executive,2,304,False,False,True,Lamp replacement pending,2021-11-30,False,False
209,18,205,2,Studio Extended Stay,3,349,False,False,True,Bathroom caulking maintenance due,2024-05-06,False,False
210,18,206,2,Family Suite,4,379,False,False,False,Lamp replacement pending,2023-03-10,False,False
211,18,207,2,Panorama Suite,2,449,True,False,True,,2023-06-11,False,False
212,18,208,2,Alpine Premium,2,414,False,False,True,,2021-09-27,False,False
213,18,309,3,Accessible Queen,2,289,False,False,False,,2024-02-03,False,True
214,18,310,3,Business King,2,334,False,False,True,,2021-02-22,False,False
215,18,311,3,Junior Suite,3,364,True,False,True,,2024-12-26,False,False
216,18,312,3,Presidential Suite,4,669,True,False,False,,2021-01-23,False,False
217,19,101,1,Single Comfort,1,225,False,False,False,,2025-01-12,False,False
218,19,102,1,Double Classic,2,280,False,False,True,,2023-08-16,False,False
219,19,103,1,Queen Urban,2,285,False,False,True,,2023-01-18,False,False
220,19,104,1,King Executive,2,340,False,False,True,,2021-05-17,False,False
221,19,205,2,Studio Extended Stay,3,375,False,False,True,Paint touch-up scheduled,2023-04-26,False,False
222,19,206,2,Family Suite,4,415,False,False,False,,2021-08-09,False,False
223,19,207,2,Panorama Suite,2,485,True,False,True,Bathroom caulking maintenance due,2022-04-25,False,False
224,19,208,2,Alpine Premium,2,450,False,False,True,,2021-03-31,False,False
225,19,309,3,Accessible Queen,2,295,False,False,False,Paint touch-up scheduled,2021-07-30,False,True
226,19,310,3,Business King,2,350,False,False,True,,2023-04-14,False,False
227,19,311,3,Junior Suite,3,385,True,False,True,Bathroom caulking maintenance due,2022-02-22,False,False
228,19,312,3,Presidential Suite,4,690,True,False,False,,2022-10-04,False,False
229,20,101,1,Single Comfort,1,268,False,False,False,Paint touch-up scheduled,2022-04-01,False,False
230,20,102,1,Double Classic,2,313,False,False,True,,2021-11-01,False,False
231,20,103,1,Queen Urban,2,323,False,False,True,,2025-04-22,False,False
232,20,104,1,King Executive,2,368,False,False,True,,2023-12-19,False,False
233,20,205,2,Studio Extended Stay,3,393,False,False,True,,2022-02-09,False,False
234,20,206,2,Family Suite,4,443,False,False,False,Paint touch-up scheduled,2022-12-09,False,False
235,20,207,2,Panorama Suite,2,513,False,False,True,,2024-05-28,False,False
236,20,208,2,Alpine Premium,2,483,False,False,True,Lamp replacement pending,2022-06-25,False,False
237,20,309,3,Accessible Queen,2,323,False,False,False,Lamp replacement pending,2021-10-26,False,True
238,20,310,3,Business King,2,373,False,False,True,,2022-05-30,False,False
239,20,311,3,Junior Suite,3,433,False,False,True,,2024-05-12,False,False
240,20,312,3,Presidential Suite,4,703,False,False,False,,2023-12-25,False,False
241,21,101,1,Single Comfort,1,167,False,False,False,,2021-10-12,False,False
242,21,102,1,Double Classic,2,212,False,False,True,,2021-03-28,False,False
243,21,103,1,Queen Urban,2,237,False,False,True,,2023-09-15,False,False
244,21,104,1,King Executive,2,287,False,False,True,Lamp replacement pending,2022-11-28,False,False
245,21,205,2,Studio Extended Stay,3,297,False,False,True,Bathroom caulking maintenance due,2025-04-12,False,False
246,21,206,2,Family Suite,4,347,False,False,False,,2024-12-09,False,False
247,21,207,2,Panorama Suite,2,417,False,False,True,,2024-07-09,False,False
248,21,208,2,Alpine Premium,2,377,False,False,True,Paint touch-up scheduled,2022-01-01,False,False
249,21,309,3,Accessible Queen,2,237,False,False,False,,2021-10-01,False,True
250,21,310,3,Business King,2,287,False,False,True,Lamp replacement pending,2023-09-30,False,False
251,21,311,3,Junior Suite,3,342,False,False,True,,2024-12-11,False,False
252,21,312,3,Presidential Suite,4,627,False,False,False,,2023-04-04,False,False
253,22,101,1,Single Comfort,1,215,False,False,False,,2021-02-18,False,False
254,22,102,1,Double Classic,2,250,False,False,True,,2025-01-06,False,False
255,22,103,1,Queen Urban,2,285,False,False,True,,2024-01-22,False,False
256,22,104,1,King Executive,2,320,False,False,True,,2023-04-19,False,False
257,22,205,2,Studio Extended Stay,3,345,False,False,True,Bathroom caulking maintenance due,2023-04-04,False,False
258,22,206,2,Family Suite,4,400,False,False,False,Lamp replacement pending,2024-10-06,False,False
259,22,207,2,Panorama Suite,2,455,False,False,True,Paint touch-up scheduled,2024-03-02,False,False
260,22,208,2,Alpine Premium,2,435,False,False,True,,2022-05-23,False,False
261,22,309,3,Accessible Queen,2,295,False,False,False,,2023-09-30,False,True
262,22,310,3,Business King,2,335,False,False,True,,2021-07-13,False,False
263,22,311,3,Junior Suite,3,380,False,False,True,,2024-08-04,False,False
264,22,312,3,Presidential Suite,4,660,False,False,False,Lamp replacement pending,2024-05-07,False,False
265,23,101,1,Single Comfort,1,276,False,False,False,Paint touch-up scheduled,2022-01-09,False,False
266,23,102,1,Double Classic,2,326,False,False,True,Bathroom caulking maintenance due,2021-05-17,False,False
267,23,103,1,Queen Urban,2,336,False,False,True,,2023-09-10,False,False
268,23,104,1,King Executive,2,376,False,False,True,,2022-05-23,False,False
269,23,205,2,Studio Extended Stay,3,411,False,False,True,,2025-02-07,False,False
270,23,206,2,Family Suite,4,466,False,False,False,,2022-06-06,False,False
271,23,207,2,Panorama Suite,2,511,False,False,True,Paint touch-up scheduled,2022-02-19,False,False
272,23,208,2,Alpine Premium,2,496,False,False,True,Bathroom caulking maintenance due,2025-02-26,False,False
273,23,309,3,Accessible Queen,2,356,False,False,False,,2021-02-08,False,True
274,23,310,3,Business King,2,396,False,False,True,Paint touch-up scheduled,2024-07-09,False,False
275,23,311,3,Junior Suite,3,426,False,False,True,,2023-04-05,False,False
276,23,312,3,Presidential Suite,4,731,False,False,False,,2024-12-24,False,False
277,24,101,1,Single Comfort,1,245,False,False,False,,2022-06-04,False,False
278,24,102,1,Double Classic,2,290,False,False,True,,2021-10-01,False,False
279,24,103,1,Queen Urban,2,315,False,False,True,,2022-07-05,False,False
280,24,104,1,King Executive,2,355,False,False,True,Lamp replacement pending,2023-10-01,False,False
281,24,205,2,Studio Extended Stay,3,390,False,False,True,,2022-10-20,False,False
282,24,206,2,Family Suite,4,435,False,False,False,Lamp replacement pending,2023-09-25,False,False
283,24,207,2,Panorama Suite,2,500,True,True,True,,2023-01-08,False,False
284,24,208,2,Alpine Premium,2,455,False,True,True,Bathroom caulking maintenance due,2021-07-18,False,False
285,24,309,3,Accessible Queen,2,315,False,False,False,Paint touch-up scheduled,2024-01-03,False,True
286,24,310,3,Business King,2,380,False,False,True,Paint touch-up scheduled,2024-03-16,False,False
287,24,311,3,Junior Suite,3,405,True,False,True,Paint touch-up scheduled,2025-01-16,False,False
288,24,312,3,Presidential Suite,4,710,True,False,False,,2025-04-02,False,False
289,25,101,1,Single Comfort,1,196,False,False,False,Bathroom caulking maintenance due,2024-06-11,False,False
290,25,102,1,Double Classic,2,241,False,False,True,Lamp replacement pending,2025-02-01,False,False
291,25,103,1,Queen Urban,2,256,False,False,True,,2022-10-07,False,False
292,25,104,1,King Executive,2,281,False,False,True,,2022-09-05,False,False
293,25,205,2,Studio Extended Stay,3,316,False,False,True,,2024-06-22,False,False
294,25,206,2,Family Suite,4,381,False,False,False,,2023-02-17,False,False
295,25,207,2,Panorama Suite,2,426,False,False,True,,2023-02-11,False,False
296,25,208,2,Alpine Premium,2,406,False,False,True,Paint touch-up scheduled,2021-01-05,False,False
297,25,309,3,Accessible Queen,2,261,False,False,False,,2022-06-30,False,True
298,25,310,3,Business King,2,306,False,False,True,Bathroom caulking maintenance due,2024-02-28,False,False
299,25,311,3,Junior Suite,3,351,False,False,True,,2022-10-09,False,False
300,25,312,3,Presidential Suite,4,641,False,False,False,,2022-11-16,False,False
301,26,101,1,Single Comfort,1,261,False,False,False,,2024-04-28,False,False
302,26,102,1,Double Classic,2,291,False,False,True,,2021-07-30,False,False
303,26,103,1,Queen Urban,2,321,False,False,True,Lamp replacement pending,2021-12-28,False,False
304,26,104,1,King Executive,2,361,False,False,True,,2024-01-16,False,False
305,26,205,2,Studio Extended Stay,3,376,False,False,True,,2024-07-19,False,False
306,26,206,2,Family Suite,4,446,False,False,False,,2025-04-29,False,False
307,26,207,2,Panorama Suite,2,501,False,False,True,Paint touch-up scheduled,2024-12-07,False,False
308,26,208,2,Alpine Premium,2,466,False,False,True,Paint touch-up scheduled,2022-12-11,False,False
309,26,309,3,Accessible Queen,2,316,False,False,False,Lamp replacement pending,2023-03-05,False,True
310,26,310,3,Business King,2,386,False,False,True,,2022-08-31,False,False
311,26,311,3,Junior Suite,3,421,False,False,True,Paint touch-up scheduled,2022-07-02,False,False
312,26,312,3,Presidential Suite,4,701,False,False,False,Paint touch-up scheduled,2022-07-28,False,False
313,27,101,1,Single Comfort,1,250,False,False,False,,2021-12-20,False,False
314,27,102,1,Double Classic,2,275,False,False,True,,2022-02-28,False,False
315,27,103,1,Queen Urban,2,305,False,False,True,,2021-02-19,False,False
316,27,104,1,King Executive,2,340,False,False,True,,2021-08-01,False,False
317,27,205,2,Studio Extended Stay,3,375,False,False,True,,2024-01-12,False,False
318,27,206,2,Family Suite,4,415,False,False,False,Bathroom caulking maintenance due,2023-07-15,False,False
319,27,207,2,Panorama Suite,2,475,True,False,True,,2021-02-15,False,False
320,27,208,2,Alpine Premium,2,460,False,False,True,Paint touch-up scheduled,2025-01-02,False,False
321,27,309,3,Accessible Queen,2,325,False,False,False,,2022-12-11,False,True
322,27,310,3,Business King,2,365,False,False,True,,2021-07-13,False,False
323,27,311,3,Junior Suite,3,410,True,False,True,Paint touch-up scheduled,2022-10-26,False,False
324,27,312,3,Presidential Suite,4,695,True,False,False,,2024-09-25,False,False
325,28,101,1,Single Comfort,1,167,False,False,False,,2022-11-04,False,False
326,28,102,1,Double Classic,2,207,False,False,True,,2025-05-01,False,False
327,28,103,1,Queen Urban,2,242,False,False,True,,2021-06-25,False,False
328,28,104,1,King Executive,2,287,False,False,True,Lamp replacement pending,2024-04-28,False,False
329,28,205,2,Studio Extended Stay,3,317,False,False,True,,2025-02-14,False,False
330,28,206,2,Family Suite,4,352,False,False,False,,2022-04-14,False,False
331,28,207,2,Panorama Suite,2,407,False,False,True,Lamp replacement pending,2024-07-13,False,False
332,28,208,2,Alpine Premium,2,397,False,False,True,Bathroom caulking maintenance due,2024-02-19,False,False
333,28,309,3,Accessible Queen,2,257,False,False,False,,2023-10-03,False,True
334,28,310,3,Business King,2,307,False,False,True,,2024-07-10,False,False
335,28,311,3,Junior Suite,3,337,False,False,True,,2024-03-03,False,False
336,28,312,3,Presidential Suite,4,627,False,False,False,Lamp replacement pending,2024-09-09,False,False
337,29,101,1,Single Comfort,1,225,False,False,False,,2024-10-24,False,False
